[run] base_fusion_R_frozen_seed42 (text_cache_subdir=text, seed=42)
[epoch 000] loss=1.3316 val_weighted_f1=0.3924 val_macro_f1=0.2091 time=8.3s per_class_f1={'neutral': 0.66, 'joy': 0.354, 'sadness': 0.0, 'anger': 0.037, 'surprise': 0.413, 'fear': 0.0, 'disgust': 0.0}
[epoch 001] loss=1.3298 val_weighted_f1=0.3851 val_macro_f1=0.2038 time=7.8s per_class_f1={'neutral': 0.652, 'joy': 0.353, 'sadness': 0.0, 'anger': 0.037, 'surprise': 0.383, 'fear': 0.0, 'disgust': 0.0}
[epoch 002] loss=1.3236 val_weighted_f1=0.3870 val_macro_f1=0.2051 time=7.8s per_class_f1={'neutral': 0.655, 'joy': 0.337, 'sadness': 0.0, 'anger': 0.061, 'surprise': 0.383, 'fear': 0.0, 'disgust': 0.0}
[epoch 003] loss=1.3187 val_weighted_f1=0.4094 val_macro_f1=0.2257 time=7.8s per_class_f1={'neutral': 0.663, 'joy': 0.367, 'sadness': 0.0, 'anger': 0.154, 'surprise': 0.396, 'fear': 0.0, 'disgust': 0.0}
[epoch 004] loss=1.3063 val_weighted_f1=0.4285 val_macro_f1=0.2394 time=7.9s per_class_f1={'neutral': 0.683, 'joy': 0.36, 'sadness': 0.0, 'anger': 0.236, 'surprise': 0.396, 'fear': 0.0, 'disgust': 0.0}
[epoch 005] loss=1.2974 val_weighted_f1=0.4327 val_macro_f1=0.2427 time=7.8s per_class_f1={'neutral': 0.686, 'joy': 0.385, 'sadness': 0.0, 'anger': 0.241, 'surprise': 0.387, 'fear': 0.0, 'disgust': 0.0}
[epoch 006] loss=1.2857 val_weighted_f1=0.4372 val_macro_f1=0.2466 time=7.9s per_class_f1={'neutral': 0.688, 'joy': 0.403, 'sadness': 0.0, 'anger': 0.239, 'surprise': 0.396, 'fear': 0.0, 'disgust': 0.0}
[epoch 007] loss=1.2833 val_weighted_f1=0.4350 val_macro_f1=0.2450 time=8.2s per_class_f1={'neutral': 0.687, 'joy': 0.391, 'sadness': 0.0, 'anger': 0.219, 'surprise': 0.418, 'fear': 0.0, 'disgust': 0.0}
[epoch 008] loss=1.2738 val_weighted_f1=0.4590 val_macro_f1=0.2646 time=8.3s per_class_f1={'neutral': 0.704, 'joy': 0.386, 'sadness': 0.0, 'anger': 0.332, 'surprise': 0.43, 'fear': 0.0, 'disgust': 0.0}
[epoch 009] loss=1.2768 val_weighted_f1=0.4489 val_macro_f1=0.2545 time=7.9s per_class_f1={'neutral': 0.703, 'joy': 0.378, 'sadness': 0.0, 'anger': 0.257, 'surprise': 0.443, 'fear': 0.0, 'disgust': 0.0}
[epoch 010] loss=1.2648 val_weighted_f1=0.4411 val_macro_f1=0.2496 time=7.9s per_class_f1={'neutral': 0.692, 'joy': 0.386, 'sadness': 0.0, 'anger': 0.274, 'surprise': 0.394, 'fear': 0.0, 'disgust': 0.0}
[epoch 011] loss=1.2653 val_weighted_f1=0.4648 val_macro_f1=0.2704 time=7.8s per_class_f1={'neutral': 0.706, 'joy': 0.379, 'sadness': 0.0, 'anger': 0.338, 'surprise': 0.47, 'fear': 0.0, 'disgust': 0.0}
[epoch 012] loss=1.2535 val_weighted_f1=0.4545 val_macro_f1=0.2597 time=7.8s per_class_f1={'neutral': 0.706, 'joy': 0.38, 'sadness': 0.0, 'anger': 0.271, 'surprise': 0.461, 'fear': 0.0, 'disgust': 0.0}
[epoch 013] loss=1.2511 val_weighted_f1=0.4648 val_macro_f1=0.2705 time=7.7s per_class_f1={'neutral': 0.705, 'joy': 0.377, 'sadness': 0.0, 'anger': 0.342, 'surprise': 0.47, 'fear': 0.0, 'disgust': 0.0}
[epoch 014] loss=1.2480 val_weighted_f1=0.4639 val_macro_f1=0.2695 time=7.8s per_class_f1={'neutral': 0.706, 'joy': 0.379, 'sadness': 0.0, 'anger': 0.352, 'surprise': 0.45, 'fear': 0.0, 'disgust': 0.0}
[epoch 015] loss=1.2445 val_weighted_f1=0.4605 val_macro_f1=0.2670 time=7.6s per_class_f1={'neutral': 0.702, 'joy': 0.391, 'sadness': 0.0, 'anger': 0.315, 'surprise': 0.461, 'fear': 0.0, 'disgust': 0.0}
[epoch 016] loss=1.2398 val_weighted_f1=0.4705 val_macro_f1=0.2746 time=7.6s per_class_f1={'neutral': 0.711, 'joy': 0.399, 'sadness': 0.0, 'anger': 0.358, 'surprise': 0.454, 'fear': 0.0, 'disgust': 0.0}
[epoch 017] loss=1.2323 val_weighted_f1=0.4685 val_macro_f1=0.2745 time=7.8s per_class_f1={'neutral': 0.704, 'joy': 0.395, 'sadness': 0.0, 'anger': 0.35, 'surprise': 0.473, 'fear': 0.0, 'disgust': 0.0}
[epoch 018] loss=1.2224 val_weighted_f1=0.4680 val_macro_f1=0.2736 time=7.8s per_class_f1={'neutral': 0.706, 'joy': 0.398, 'sadness': 0.0, 'anger': 0.343, 'surprise': 0.47, 'fear': 0.0, 'disgust': 0.0}
[epoch 019] loss=1.2258 val_weighted_f1=0.4652 val_macro_f1=0.2709 time=7.7s per_class_f1={'neutral': 0.705, 'joy': 0.374, 'sadness': 0.0, 'anger': 0.357, 'surprise': 0.46, 'fear': 0.0, 'disgust': 0.0}
[epoch 020] loss=1.2138 val_weighted_f1=0.4650 val_macro_f1=0.2718 time=7.7s per_class_f1={'neutral': 0.701, 'joy': 0.397, 'sadness': 0.0, 'anger': 0.346, 'surprise': 0.458, 'fear': 0.0, 'disgust': 0.0}
[epoch 021] loss=1.2135 val_weighted_f1=0.4688 val_macro_f1=0.2733 time=7.7s per_class_f1={'neutral': 0.709, 'joy': 0.414, 'sadness': 0.0, 'anger': 0.324, 'surprise': 0.466, 'fear': 0.0, 'disgust': 0.0}
[epoch 022] loss=1.2057 val_weighted_f1=0.4684 val_macro_f1=0.2741 time=7.7s per_class_f1={'neutral': 0.705, 'joy': 0.404, 'sadness': 0.0, 'anger': 0.331, 'surprise': 0.48, 'fear': 0.0, 'disgust': 0.0}
[epoch 023] loss=1.2024 val_weighted_f1=0.4718 val_macro_f1=0.2773 time=7.8s per_class_f1={'neutral': 0.706, 'joy': 0.414, 'sadness': 0.0, 'anger': 0.352, 'surprise': 0.469, 'fear': 0.0, 'disgust': 0.0}
[epoch 024] loss=1.1991 val_weighted_f1=0.4718 val_macro_f1=0.2772 time=8.2s per_class_f1={'neutral': 0.706, 'joy': 0.414, 'sadness': 0.0, 'anger': 0.345, 'surprise': 0.475, 'fear': 0.0, 'disgust': 0.0}
[epoch 025] loss=1.1944 val_weighted_f1=0.4856 val_macro_f1=0.2907 time=8.3s per_class_f1={'neutral': 0.714, 'joy': 0.401, 'sadness': 0.035, 'anger': 0.377, 'surprise': 0.507, 'fear': 0.0, 'disgust': 0.0}
[epoch 026] loss=1.1904 val_weighted_f1=0.4803 val_macro_f1=0.2841 time=8.3s per_class_f1={'neutral': 0.713, 'joy': 0.406, 'sadness': 0.0, 'anger': 0.388, 'surprise': 0.482, 'fear': 0.0, 'disgust': 0.0}
[epoch 027] loss=1.1869 val_weighted_f1=0.4664 val_macro_f1=0.2728 time=8.2s per_class_f1={'neutral': 0.703, 'joy': 0.393, 'sadness': 0.0, 'anger': 0.349, 'surprise': 0.464, 'fear': 0.0, 'disgust': 0.0}
[epoch 028] loss=1.1820 val_weighted_f1=0.4544 val_macro_f1=0.2652 time=8.4s per_class_f1={'neutral': 0.703, 'joy': 0.425, 'sadness': 0.0, 'anger': 0.23, 'surprise': 0.45, 'fear': 0.049, 'disgust': 0.0}
[epoch 029] loss=1.1766 val_weighted_f1=0.4805 val_macro_f1=0.2896 time=8.1s per_class_f1={'neutral': 0.702, 'joy': 0.391, 'sadness': 0.051, 'anger': 0.41, 'surprise': 0.472, 'fear': 0.0, 'disgust': 0.0}
[epoch 030] loss=1.1757 val_weighted_f1=0.4763 val_macro_f1=0.2830 time=8.3s per_class_f1={'neutral': 0.709, 'joy': 0.402, 'sadness': 0.051, 'anger': 0.353, 'surprise': 0.465, 'fear': 0.0, 'disgust': 0.0}
[epoch 031] loss=1.1681 val_weighted_f1=0.4723 val_macro_f1=0.2786 time=8.2s per_class_f1={'neutral': 0.706, 'joy': 0.407, 'sadness': 0.018, 'anger': 0.336, 'surprise': 0.484, 'fear': 0.0, 'disgust': 0.0}
[epoch 032] loss=1.1688 val_weighted_f1=0.4705 val_macro_f1=0.2754 time=8.1s per_class_f1={'neutral': 0.711, 'joy': 0.399, 'sadness': 0.018, 'anger': 0.331, 'surprise': 0.47, 'fear': 0.0, 'disgust': 0.0}
[epoch 033] loss=1.1623 val_weighted_f1=0.4855 val_macro_f1=0.2963 time=8.1s per_class_f1={'neutral': 0.701, 'joy': 0.388, 'sadness': 0.081, 'anger': 0.413, 'surprise': 0.49, 'fear': 0.0, 'disgust': 0.0}
[epoch 034] loss=1.1589 val_weighted_f1=0.4922 val_macro_f1=0.2977 time=8.1s per_class_f1={'neutral': 0.716, 'joy': 0.407, 'sadness': 0.05, 'anger': 0.403, 'surprise': 0.508, 'fear': 0.0, 'disgust': 0.0}
[epoch 035] loss=1.1529 val_weighted_f1=0.4776 val_macro_f1=0.2886 time=8.1s per_class_f1={'neutral': 0.712, 'joy': 0.431, 'sadness': 0.051, 'anger': 0.292, 'surprise': 0.486, 'fear': 0.049, 'disgust': 0.0}
[epoch 036] loss=1.1504 val_weighted_f1=0.4803 val_macro_f1=0.2864 time=8.0s per_class_f1={'neutral': 0.712, 'joy': 0.406, 'sadness': 0.05, 'anger': 0.36, 'surprise': 0.476, 'fear': 0.0, 'disgust': 0.0}
[epoch 037] loss=1.1499 val_weighted_f1=0.4786 val_macro_f1=0.2899 time=8.1s per_class_f1={'neutral': 0.71, 'joy': 0.441, 'sadness': 0.052, 'anger': 0.311, 'surprise': 0.466, 'fear': 0.049, 'disgust': 0.0}
[epoch 038] loss=1.1438 val_weighted_f1=0.4687 val_macro_f1=0.2748 time=8.0s per_class_f1={'neutral': 0.703, 'joy': 0.429, 'sadness': 0.0, 'anger': 0.331, 'surprise': 0.461, 'fear': 0.0, 'disgust': 0.0}
[epoch 039] loss=1.1422 val_weighted_f1=0.4802 val_macro_f1=0.2878 time=8.0s per_class_f1={'neutral': 0.707, 'joy': 0.414, 'sadness': 0.051, 'anger': 0.348, 'surprise': 0.495, 'fear': 0.0, 'disgust': 0.0}
[epoch 040] loss=1.1328 val_weighted_f1=0.4780 val_macro_f1=0.2860 time=8.0s per_class_f1={'neutral': 0.707, 'joy': 0.412, 'sadness': 0.064, 'anger': 0.348, 'surprise': 0.472, 'fear': 0.0, 'disgust': 0.0}
[epoch 041] loss=1.1339 val_weighted_f1=0.4877 val_macro_f1=0.2928 time=8.0s per_class_f1={'neutral': 0.716, 'joy': 0.417, 'sadness': 0.052, 'anger': 0.367, 'surprise': 0.498, 'fear': 0.0, 'disgust': 0.0}
[epoch 042] loss=1.1336 val_weighted_f1=0.4812 val_macro_f1=0.2870 time=8.0s per_class_f1={'neutral': 0.71, 'joy': 0.436, 'sadness': 0.035, 'anger': 0.345, 'surprise': 0.483, 'fear': 0.0, 'disgust': 0.0}
[epoch 043] loss=1.1299 val_weighted_f1=0.4792 val_macro_f1=0.2849 time=8.0s per_class_f1={'neutral': 0.71, 'joy': 0.432, 'sadness': 0.034, 'anger': 0.339, 'surprise': 0.48, 'fear': 0.0, 'disgust': 0.0}
[epoch 044] loss=1.1232 val_weighted_f1=0.4905 val_macro_f1=0.2984 time=8.0s per_class_f1={'neutral': 0.713, 'joy': 0.413, 'sadness': 0.095, 'anger': 0.391, 'surprise': 0.475, 'fear': 0.0, 'disgust': 0.0}
[epoch 045] loss=1.1253 val_weighted_f1=0.4913 val_macro_f1=0.2974 time=8.0s per_class_f1={'neutral': 0.714, 'joy': 0.426, 'sadness': 0.065, 'anger': 0.389, 'surprise': 0.488, 'fear': 0.0, 'disgust': 0.0}
[epoch 046] loss=1.1178 val_weighted_f1=0.4857 val_macro_f1=0.2912 time=8.1s per_class_f1={'neutral': 0.713, 'joy': 0.435, 'sadness': 0.051, 'anger': 0.353, 'surprise': 0.487, 'fear': 0.0, 'disgust': 0.0}
[epoch 047] loss=1.1094 val_weighted_f1=0.4847 val_macro_f1=0.2890 time=8.1s per_class_f1={'neutral': 0.716, 'joy': 0.414, 'sadness': 0.035, 'anger': 0.369, 'surprise': 0.488, 'fear': 0.0, 'disgust': 0.0}
[epoch 048] loss=1.1155 val_weighted_f1=0.4947 val_macro_f1=0.3060 time=8.1s per_class_f1={'neutral': 0.717, 'joy': 0.423, 'sadness': 0.079, 'anger': 0.38, 'surprise': 0.494, 'fear': 0.049, 'disgust': 0.0}
[epoch 049] loss=1.1096 val_weighted_f1=0.4999 val_macro_f1=0.3059 time=7.6s per_class_f1={'neutral': 0.72, 'joy': 0.397, 'sadness': 0.093, 'anger': 0.423, 'surprise': 0.508, 'fear': 0.0, 'disgust': 0.0}
[epoch 050] loss=1.1100 val_weighted_f1=0.4952 val_macro_f1=0.3004 time=7.8s per_class_f1={'neutral': 0.72, 'joy': 0.423, 'sadness': 0.081, 'anger': 0.373, 'surprise': 0.506, 'fear': 0.0, 'disgust': 0.0}
[epoch 051] loss=1.1066 val_weighted_f1=0.4966 val_macro_f1=0.3017 time=7.8s per_class_f1={'neutral': 0.716, 'joy': 0.439, 'sadness': 0.05, 'anger': 0.396, 'surprise': 0.51, 'fear': 0.0, 'disgust': 0.0}
[epoch 052] loss=1.1037 val_weighted_f1=0.4906 val_macro_f1=0.3014 time=7.8s per_class_f1={'neutral': 0.714, 'joy': 0.434, 'sadness': 0.051, 'anger': 0.373, 'surprise': 0.489, 'fear': 0.049, 'disgust': 0.0}
[epoch 053] loss=1.1014 val_weighted_f1=0.5070 val_macro_f1=0.3196 time=7.7s per_class_f1={'neutral': 0.717, 'joy': 0.42, 'sadness': 0.101, 'anger': 0.435, 'surprise': 0.516, 'fear': 0.049, 'disgust': 0.0}
[epoch 054] loss=1.1007 val_weighted_f1=0.4884 val_macro_f1=0.2985 time=7.7s per_class_f1={'neutral': 0.716, 'joy': 0.436, 'sadness': 0.051, 'anger': 0.347, 'surprise': 0.491, 'fear': 0.049, 'disgust': 0.0}
[epoch 055] loss=1.0921 val_weighted_f1=0.4884 val_macro_f1=0.2996 time=7.6s per_class_f1={'neutral': 0.712, 'joy': 0.436, 'sadness': 0.049, 'anger': 0.372, 'surprise': 0.48, 'fear': 0.049, 'disgust': 0.0}
