[epoch 000] loss=1.7621 val_weighted_f1=0.2518 val_macro_f1=0.0850 time=1.7s per_class_f1={'neutral': 0.595, 'joy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.0, 'fear': 0.0, 'disgust': 0.0}
[epoch 001] loss=1.5214 val_weighted_f1=0.2813 val_macro_f1=0.1134 time=1.5s per_class_f1={'neutral': 0.603, 'joy': 0.012, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.179, 'fear': 0.0, 'disgust': 0.0}
[epoch 002] loss=1.4663 val_weighted_f1=0.3021 val_macro_f1=0.1316 time=1.5s per_class_f1={'neutral': 0.613, 'joy': 0.077, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.231, 'fear': 0.0, 'disgust': 0.0}
[epoch 003] loss=1.4193 val_weighted_f1=0.3221 val_macro_f1=0.1492 time=1.5s per_class_f1={'neutral': 0.622, 'joy': 0.139, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.283, 'fear': 0.0, 'disgust': 0.0}
[epoch 004] loss=1.3911 val_weighted_f1=0.3270 val_macro_f1=0.1529 time=1.6s per_class_f1={'neutral': 0.626, 'joy': 0.155, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.289, 'fear': 0.0, 'disgust': 0.0}
[epoch 005] loss=1.3653 val_weighted_f1=0.3494 val_macro_f1=0.1736 time=1.5s per_class_f1={'neutral': 0.633, 'joy': 0.222, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.36, 'fear': 0.0, 'disgust': 0.0}
[epoch 006] loss=1.3402 val_weighted_f1=0.3824 val_macro_f1=0.1998 time=1.5s per_class_f1={'neutral': 0.657, 'joy': 0.347, 'sadness': 0.0, 'anger': 0.013, 'surprise': 0.383, 'fear': 0.0, 'disgust': 0.0}
[epoch 007] loss=1.3263 val_weighted_f1=0.3899 val_macro_f1=0.2075 time=1.5s per_class_f1={'neutral': 0.656, 'joy': 0.354, 'sadness': 0.0, 'anger': 0.06, 'surprise': 0.382, 'fear': 0.0, 'disgust': 0.0}
[epoch 008] loss=1.3131 val_weighted_f1=0.4106 val_macro_f1=0.2238 time=1.5s per_class_f1={'neutral': 0.671, 'joy': 0.436, 'sadness': 0.0, 'anger': 0.061, 'surprise': 0.398, 'fear': 0.0, 'disgust': 0.0}
[epoch 009] loss=1.2970 val_weighted_f1=0.4147 val_macro_f1=0.2282 time=1.5s per_class_f1={'neutral': 0.671, 'joy': 0.444, 'sadness': 0.0, 'anger': 0.073, 'surprise': 0.41, 'fear': 0.0, 'disgust': 0.0}
[epoch 010] loss=1.2898 val_weighted_f1=0.4201 val_macro_f1=0.2326 time=1.5s per_class_f1={'neutral': 0.675, 'joy': 0.439, 'sadness': 0.0, 'anger': 0.116, 'surprise': 0.398, 'fear': 0.0, 'disgust': 0.0}
[epoch 011] loss=1.2771 val_weighted_f1=0.4205 val_macro_f1=0.2330 time=1.5s per_class_f1={'neutral': 0.675, 'joy': 0.436, 'sadness': 0.0, 'anger': 0.116, 'surprise': 0.403, 'fear': 0.0, 'disgust': 0.0}
[epoch 012] loss=1.2667 val_weighted_f1=0.4287 val_macro_f1=0.2399 time=1.5s per_class_f1={'neutral': 0.68, 'joy': 0.447, 'sadness': 0.0, 'anger': 0.126, 'surprise': 0.427, 'fear': 0.0, 'disgust': 0.0}
[epoch 013] loss=1.2596 val_weighted_f1=0.4362 val_macro_f1=0.2519 time=1.5s per_class_f1={'neutral': 0.683, 'joy': 0.452, 'sadness': 0.0, 'anger': 0.143, 'surprise': 0.436, 'fear': 0.049, 'disgust': 0.0}
[epoch 014] loss=1.2511 val_weighted_f1=0.4430 val_macro_f1=0.2578 time=1.5s per_class_f1={'neutral': 0.687, 'joy': 0.461, 'sadness': 0.0, 'anger': 0.153, 'surprise': 0.455, 'fear': 0.049, 'disgust': 0.0}
[epoch 015] loss=1.2429 val_weighted_f1=0.4448 val_macro_f1=0.2603 time=1.5s per_class_f1={'neutral': 0.685, 'joy': 0.455, 'sadness': 0.0, 'anger': 0.147, 'surprise': 0.486, 'fear': 0.049, 'disgust': 0.0}
[epoch 016] loss=1.2414 val_weighted_f1=0.4478 val_macro_f1=0.2622 time=1.5s per_class_f1={'neutral': 0.689, 'joy': 0.469, 'sadness': 0.0, 'anger': 0.153, 'surprise': 0.476, 'fear': 0.049, 'disgust': 0.0}
[epoch 017] loss=1.2321 val_weighted_f1=0.4436 val_macro_f1=0.2567 time=1.5s per_class_f1={'neutral': 0.693, 'joy': 0.449, 'sadness': 0.0, 'anger': 0.149, 'surprise': 0.457, 'fear': 0.049, 'disgust': 0.0}
[epoch 018] loss=1.2276 val_weighted_f1=0.4523 val_macro_f1=0.2655 time=1.5s per_class_f1={'neutral': 0.694, 'joy': 0.452, 'sadness': 0.0, 'anger': 0.198, 'surprise': 0.466, 'fear': 0.049, 'disgust': 0.0}
[epoch 019] loss=1.2223 val_weighted_f1=0.4522 val_macro_f1=0.2643 time=1.5s per_class_f1={'neutral': 0.697, 'joy': 0.464, 'sadness': 0.0, 'anger': 0.17, 'surprise': 0.471, 'fear': 0.049, 'disgust': 0.0}
[epoch 020] loss=1.2162 val_weighted_f1=0.4519 val_macro_f1=0.2638 time=1.5s per_class_f1={'neutral': 0.697, 'joy': 0.465, 'sadness': 0.0, 'anger': 0.165, 'surprise': 0.47, 'fear': 0.049, 'disgust': 0.0}
[epoch 021] loss=1.2163 val_weighted_f1=0.4570 val_macro_f1=0.2677 time=1.5s per_class_f1={'neutral': 0.702, 'joy': 0.468, 'sadness': 0.0, 'anger': 0.183, 'surprise': 0.472, 'fear': 0.049, 'disgust': 0.0}
[epoch 022] loss=1.2030 val_weighted_f1=0.4572 val_macro_f1=0.2689 time=1.4s per_class_f1={'neutral': 0.698, 'joy': 0.471, 'sadness': 0.0, 'anger': 0.193, 'surprise': 0.472, 'fear': 0.048, 'disgust': 0.0}
[epoch 023] loss=1.2063 val_weighted_f1=0.4636 val_macro_f1=0.2750 time=1.5s per_class_f1={'neutral': 0.7, 'joy': 0.476, 'sadness': 0.0, 'anger': 0.232, 'surprise': 0.47, 'fear': 0.048, 'disgust': 0.0}
[epoch 024] loss=1.2028 val_weighted_f1=0.4658 val_macro_f1=0.2771 time=1.6s per_class_f1={'neutral': 0.7, 'joy': 0.474, 'sadness': 0.0, 'anger': 0.248, 'surprise': 0.47, 'fear': 0.048, 'disgust': 0.0}
[epoch 025] loss=1.1999 val_weighted_f1=0.4625 val_macro_f1=0.2720 time=1.5s per_class_f1={'neutral': 0.707, 'joy': 0.462, 'sadness': 0.0, 'anger': 0.233, 'surprise': 0.454, 'fear': 0.048, 'disgust': 0.0}
[epoch 026] loss=1.1959 val_weighted_f1=0.4597 val_macro_f1=0.2705 time=1.5s per_class_f1={'neutral': 0.702, 'joy': 0.47, 'sadness': 0.0, 'anger': 0.208, 'surprise': 0.466, 'fear': 0.048, 'disgust': 0.0}
[epoch 027] loss=1.1960 val_weighted_f1=0.4607 val_macro_f1=0.2710 time=1.5s per_class_f1={'neutral': 0.703, 'joy': 0.472, 'sadness': 0.0, 'anger': 0.208, 'surprise': 0.466, 'fear': 0.048, 'disgust': 0.0}
[epoch 028] loss=1.1890 val_weighted_f1=0.4758 val_macro_f1=0.2852 time=1.5s per_class_f1={'neutral': 0.708, 'joy': 0.474, 'sadness': 0.0, 'anger': 0.271, 'surprise': 0.496, 'fear': 0.048, 'disgust': 0.0}
[epoch 029] loss=1.1928 val_weighted_f1=0.4709 val_macro_f1=0.2809 time=1.5s per_class_f1={'neutral': 0.706, 'joy': 0.474, 'sadness': 0.0, 'anger': 0.228, 'surprise': 0.511, 'fear': 0.048, 'disgust': 0.0}
[epoch 030] loss=1.1867 val_weighted_f1=0.4716 val_macro_f1=0.2802 time=1.5s per_class_f1={'neutral': 0.711, 'joy': 0.468, 'sadness': 0.0, 'anger': 0.24, 'surprise': 0.494, 'fear': 0.048, 'disgust': 0.0}
[epoch 031] loss=1.1801 val_weighted_f1=0.4723 val_macro_f1=0.2822 time=1.5s per_class_f1={'neutral': 0.707, 'joy': 0.476, 'sadness': 0.0, 'anger': 0.246, 'surprise': 0.498, 'fear': 0.048, 'disgust': 0.0}
[epoch 032] loss=1.1814 val_weighted_f1=0.4791 val_macro_f1=0.2876 time=1.5s per_class_f1={'neutral': 0.712, 'joy': 0.477, 'sadness': 0.0, 'anger': 0.271, 'surprise': 0.506, 'fear': 0.048, 'disgust': 0.0}
[epoch 033] loss=1.1803 val_weighted_f1=0.4797 val_macro_f1=0.2875 time=1.5s per_class_f1={'neutral': 0.714, 'joy': 0.476, 'sadness': 0.0, 'anger': 0.264, 'surprise': 0.511, 'fear': 0.048, 'disgust': 0.0}
