[epoch 000] loss=1.8394 val_weighted_f1=0.2633 val_macro_f1=0.0985 time=2.1s per_class_f1={'neutral': 0.59, 'joy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.099, 'fear': 0.0, 'disgust': 0.0}
[epoch 001] loss=1.5998 val_weighted_f1=0.2591 val_macro_f1=0.0923 time=1.6s per_class_f1={'neutral': 0.596, 'joy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.05, 'fear': 0.0, 'disgust': 0.0}
[epoch 002] loss=1.5529 val_weighted_f1=0.2627 val_macro_f1=0.0958 time=1.5s per_class_f1={'neutral': 0.597, 'joy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.074, 'fear': 0.0, 'disgust': 0.0}
[epoch 003] loss=1.5330 val_weighted_f1=0.2783 val_macro_f1=0.1109 time=1.5s per_class_f1={'neutral': 0.602, 'joy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.174, 'fear': 0.0, 'disgust': 0.0}
[epoch 004] loss=1.5144 val_weighted_f1=0.3000 val_macro_f1=0.1295 time=1.5s per_class_f1={'neutral': 0.611, 'joy': 0.12, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.176, 'fear': 0.0, 'disgust': 0.0}
[epoch 005] loss=1.4964 val_weighted_f1=0.3059 val_macro_f1=0.1368 time=1.5s per_class_f1={'neutral': 0.608, 'joy': 0.12, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.23, 'fear': 0.0, 'disgust': 0.0}
[epoch 006] loss=1.4837 val_weighted_f1=0.3104 val_macro_f1=0.1408 time=1.6s per_class_f1={'neutral': 0.609, 'joy': 0.138, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.239, 'fear': 0.0, 'disgust': 0.0}
[epoch 007] loss=1.4746 val_weighted_f1=0.3179 val_macro_f1=0.1475 time=1.5s per_class_f1={'neutral': 0.613, 'joy': 0.151, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.269, 'fear': 0.0, 'disgust': 0.0}
[epoch 008] loss=1.4575 val_weighted_f1=0.3224 val_macro_f1=0.1515 time=1.5s per_class_f1={'neutral': 0.614, 'joy': 0.168, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.278, 'fear': 0.0, 'disgust': 0.0}
[epoch 009] loss=1.4599 val_weighted_f1=0.3306 val_macro_f1=0.1591 time=1.6s per_class_f1={'neutral': 0.617, 'joy': 0.182, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.314, 'fear': 0.0, 'disgust': 0.0}
[epoch 010] loss=1.4461 val_weighted_f1=0.3336 val_macro_f1=0.1616 time=1.6s per_class_f1={'neutral': 0.619, 'joy': 0.198, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.314, 'fear': 0.0, 'disgust': 0.0}
