[run] base_fusion_R_iemocap_seed42 (seed=42)
[epoch 000] loss=0.8383 val_weighted_f1=0.5337 val_macro_f1=0.5225 time=4.7s per_class_f1={'angry': 0.573, 'happy': 0.361, 'excited': 0.559, 'sad': 0.687, 'neutral': 0.425, 'frustrated': 0.531}
[epoch 001] loss=0.8391 val_weighted_f1=0.5339 val_macro_f1=0.5223 time=4.5s per_class_f1={'angry': 0.569, 'happy': 0.363, 'excited': 0.563, 'sad': 0.684, 'neutral': 0.419, 'frustrated': 0.535}
[epoch 002] loss=0.8351 val_weighted_f1=0.5294 val_macro_f1=0.5187 time=4.9s per_class_f1={'angry': 0.55, 'happy': 0.371, 'excited': 0.559, 'sad': 0.684, 'neutral': 0.406, 'frustrated': 0.542}
[epoch 003] loss=0.8283 val_weighted_f1=0.5333 val_macro_f1=0.5206 time=4.5s per_class_f1={'angry': 0.535, 'happy': 0.369, 'excited': 0.577, 'sad': 0.688, 'neutral': 0.392, 'frustrated': 0.562}
[epoch 004] loss=0.8304 val_weighted_f1=0.5318 val_macro_f1=0.5163 time=4.5s per_class_f1={'angry': 0.512, 'happy': 0.344, 'excited': 0.588, 'sad': 0.696, 'neutral': 0.384, 'frustrated': 0.573}
[epoch 005] loss=0.8269 val_weighted_f1=0.5369 val_macro_f1=0.5221 time=4.5s per_class_f1={'angry': 0.515, 'happy': 0.346, 'excited': 0.587, 'sad': 0.708, 'neutral': 0.402, 'frustrated': 0.574}
[epoch 006] loss=0.8286 val_weighted_f1=0.5381 val_macro_f1=0.5238 time=4.5s per_class_f1={'angry': 0.518, 'happy': 0.344, 'excited': 0.584, 'sad': 0.716, 'neutral': 0.41, 'frustrated': 0.572}
[epoch 007] loss=0.8296 val_weighted_f1=0.5401 val_macro_f1=0.5257 time=4.5s per_class_f1={'angry': 0.532, 'happy': 0.342, 'excited': 0.585, 'sad': 0.718, 'neutral': 0.41, 'frustrated': 0.567}
[epoch 008] loss=0.8243 val_weighted_f1=0.5398 val_macro_f1=0.5271 time=4.5s per_class_f1={'angry': 0.535, 'happy': 0.35, 'excited': 0.583, 'sad': 0.718, 'neutral': 0.415, 'frustrated': 0.561}
[epoch 009] loss=0.8307 val_weighted_f1=0.5372 val_macro_f1=0.5253 time=4.4s per_class_f1={'angry': 0.525, 'happy': 0.352, 'excited': 0.586, 'sad': 0.716, 'neutral': 0.412, 'frustrated': 0.56}
[epoch 010] loss=0.8214 val_weighted_f1=0.5400 val_macro_f1=0.5254 time=4.4s per_class_f1={'angry': 0.526, 'happy': 0.344, 'excited': 0.585, 'sad': 0.716, 'neutral': 0.411, 'frustrated': 0.571}
[epoch 011] loss=0.8218 val_weighted_f1=0.5407 val_macro_f1=0.5261 time=4.5s per_class_f1={'angry': 0.529, 'happy': 0.344, 'excited': 0.585, 'sad': 0.716, 'neutral': 0.412, 'frustrated': 0.57}
[epoch 012] loss=0.8185 val_weighted_f1=0.5382 val_macro_f1=0.5239 time=4.5s per_class_f1={'angry': 0.527, 'happy': 0.344, 'excited': 0.585, 'sad': 0.714, 'neutral': 0.406, 'frustrated': 0.568}
[epoch 013] loss=0.8254 val_weighted_f1=0.5392 val_macro_f1=0.5250 time=4.5s per_class_f1={'angry': 0.534, 'happy': 0.344, 'excited': 0.585, 'sad': 0.71, 'neutral': 0.413, 'frustrated': 0.563}
[epoch 014] loss=0.8158 val_weighted_f1=0.5398 val_macro_f1=0.5257 time=4.5s per_class_f1={'angry': 0.534, 'happy': 0.344, 'excited': 0.585, 'sad': 0.71, 'neutral': 0.418, 'frustrated': 0.562}
[epoch 015] loss=0.8083 val_weighted_f1=0.5411 val_macro_f1=0.5256 time=4.5s per_class_f1={'angry': 0.534, 'happy': 0.333, 'excited': 0.585, 'sad': 0.714, 'neutral': 0.423, 'frustrated': 0.564}
[epoch 016] loss=0.8154 val_weighted_f1=0.5364 val_macro_f1=0.5209 time=4.7s per_class_f1={'angry': 0.522, 'happy': 0.333, 'excited': 0.587, 'sad': 0.71, 'neutral': 0.407, 'frustrated': 0.567}
[epoch 017] loss=0.8101 val_weighted_f1=0.5419 val_macro_f1=0.5254 time=4.5s per_class_f1={'angry': 0.525, 'happy': 0.333, 'excited': 0.585, 'sad': 0.712, 'neutral': 0.425, 'frustrated': 0.573}
[epoch 018] loss=0.8109 val_weighted_f1=0.5381 val_macro_f1=0.5228 time=4.5s per_class_f1={'angry': 0.529, 'happy': 0.333, 'excited': 0.584, 'sad': 0.712, 'neutral': 0.415, 'frustrated': 0.564}
[trainer] early stopping at epoch 18 (patience=10)
[run-done] base_fusion_R_iemocap_seed42 wall_clock_sec=108.7
[status] base_fusion_R_iemocap_seed42 test_weighted_f1=0.5970 all_6_nonzero=True
[run] base_fusion_R_iemocap_seed1337 (seed=1337)
[epoch 000] loss=0.8269 val_weighted_f1=0.5337 val_macro_f1=0.5225 time=4.4s per_class_f1={'angry': 0.573, 'happy': 0.361, 'excited': 0.559, 'sad': 0.687, 'neutral': 0.425, 'frustrated': 0.531}
[epoch 001] loss=0.8389 val_weighted_f1=0.5344 val_macro_f1=0.5231 time=4.5s per_class_f1={'angry': 0.569, 'happy': 0.365, 'excited': 0.563, 'sad': 0.684, 'neutral': 0.422, 'frustrated': 0.535}
[epoch 002] loss=0.8331 val_weighted_f1=0.5300 val_macro_f1=0.5195 time=4.5s per_class_f1={'angry': 0.544, 'happy': 0.371, 'excited': 0.559, 'sad': 0.689, 'neutral': 0.409, 'frustrated': 0.545}
[epoch 003] loss=0.8312 val_weighted_f1=0.5345 val_macro_f1=0.5210 time=4.5s per_class_f1={'angry': 0.534, 'happy': 0.366, 'excited': 0.581, 'sad': 0.686, 'neutral': 0.395, 'frustrated': 0.565}
[epoch 004] loss=0.8265 val_weighted_f1=0.5308 val_macro_f1=0.5148 time=4.5s per_class_f1={'angry': 0.513, 'happy': 0.342, 'excited': 0.581, 'sad': 0.69, 'neutral': 0.392, 'frustrated': 0.571}
[epoch 005] loss=0.8262 val_weighted_f1=0.5342 val_macro_f1=0.5193 time=4.4s per_class_f1={'angry': 0.514, 'happy': 0.346, 'excited': 0.587, 'sad': 0.698, 'neutral': 0.4, 'frustrated': 0.571}
[epoch 006] loss=0.8292 val_weighted_f1=0.5383 val_macro_f1=0.5242 time=4.5s per_class_f1={'angry': 0.518, 'happy': 0.346, 'excited': 0.587, 'sad': 0.714, 'neutral': 0.409, 'frustrated': 0.571}
[epoch 007] loss=0.8285 val_weighted_f1=0.5404 val_macro_f1=0.5263 time=4.4s per_class_f1={'angry': 0.529, 'happy': 0.346, 'excited': 0.587, 'sad': 0.718, 'neutral': 0.408, 'frustrated': 0.569}
[epoch 008] loss=0.8267 val_weighted_f1=0.5373 val_macro_f1=0.5241 time=4.5s per_class_f1={'angry': 0.527, 'happy': 0.344, 'excited': 0.584, 'sad': 0.718, 'neutral': 0.41, 'frustrated': 0.562}
[epoch 009] loss=0.8241 val_weighted_f1=0.5397 val_macro_f1=0.5265 time=4.7s per_class_f1={'angry': 0.528, 'happy': 0.348, 'excited': 0.585, 'sad': 0.718, 'neutral': 0.412, 'frustrated': 0.566}
[epoch 010] loss=0.8297 val_weighted_f1=0.5377 val_macro_f1=0.5244 time=4.4s per_class_f1={'angry': 0.529, 'happy': 0.348, 'excited': 0.583, 'sad': 0.714, 'neutral': 0.408, 'frustrated': 0.564}
[epoch 011] loss=0.8247 val_weighted_f1=0.5395 val_macro_f1=0.5245 time=4.5s per_class_f1={'angry': 0.529, 'happy': 0.342, 'excited': 0.582, 'sad': 0.714, 'neutral': 0.411, 'frustrated': 0.569}
[epoch 012] loss=0.8287 val_weighted_f1=0.5370 val_macro_f1=0.5225 time=4.5s per_class_f1={'angry': 0.527, 'happy': 0.342, 'excited': 0.584, 'sad': 0.71, 'neutral': 0.407, 'frustrated': 0.565}
[epoch 013] loss=0.8295 val_weighted_f1=0.5372 val_macro_f1=0.5228 time=4.5s per_class_f1={'angry': 0.528, 'happy': 0.342, 'excited': 0.584, 'sad': 0.71, 'neutral': 0.409, 'frustrated': 0.564}
[epoch 014] loss=0.8235 val_weighted_f1=0.5386 val_macro_f1=0.5249 time=4.5s per_class_f1={'angry': 0.525, 'happy': 0.346, 'excited': 0.588, 'sad': 0.71, 'neutral': 0.416, 'frustrated': 0.564}
[epoch 015] loss=0.8173 val_weighted_f1=0.5388 val_macro_f1=0.5250 time=4.4s per_class_f1={'angry': 0.525, 'happy': 0.346, 'excited': 0.588, 'sad': 0.71, 'neutral': 0.415, 'frustrated': 0.566}
[epoch 016] loss=0.8111 val_weighted_f1=0.5405 val_macro_f1=0.5260 time=4.3s per_class_f1={'angry': 0.543, 'happy': 0.338, 'excited': 0.587, 'sad': 0.71, 'neutral': 0.421, 'frustrated': 0.557}
[epoch 017] loss=0.8109 val_weighted_f1=0.5418 val_macro_f1=0.5269 time=4.3s per_class_f1={'angry': 0.551, 'happy': 0.338, 'excited': 0.587, 'sad': 0.712, 'neutral': 0.417, 'frustrated': 0.557}
[epoch 018] loss=0.8023 val_weighted_f1=0.5452 val_macro_f1=0.5298 time=4.4s per_class_f1={'angry': 0.537, 'happy': 0.342, 'excited': 0.587, 'sad': 0.716, 'neutral': 0.425, 'frustrated': 0.571}
[epoch 019] loss=0.7823 val_weighted_f1=0.5431 val_macro_f1=0.5279 time=4.4s per_class_f1={'angry': 0.563, 'happy': 0.338, 'excited': 0.586, 'sad': 0.712, 'neutral': 0.413, 'frustrated': 0.556}
[epoch 020] loss=0.7961 val_weighted_f1=0.5485 val_macro_f1=0.5324 time=4.5s per_class_f1={'angry': 0.566, 'happy': 0.342, 'excited': 0.589, 'sad': 0.712, 'neutral': 0.42, 'frustrated': 0.564}
[epoch 021] loss=0.7887 val_weighted_f1=0.5536 val_macro_f1=0.5387 time=4.4s per_class_f1={'angry': 0.574, 'happy': 0.351, 'excited': 0.613, 'sad': 0.712, 'neutral': 0.418, 'frustrated': 0.563}
[epoch 022] loss=0.7737 val_weighted_f1=0.5536 val_macro_f1=0.5362 time=4.5s per_class_f1={'angry': 0.57, 'happy': 0.342, 'excited': 0.604, 'sad': 0.714, 'neutral': 0.415, 'frustrated': 0.573}
[epoch 023] loss=0.7762 val_weighted_f1=0.5530 val_macro_f1=0.5370 time=4.5s per_class_f1={'angry': 0.567, 'happy': 0.344, 'excited': 0.613, 'sad': 0.714, 'neutral': 0.416, 'frustrated': 0.568}
[epoch 024] loss=0.7649 val_weighted_f1=0.5521 val_macro_f1=0.5357 time=4.5s per_class_f1={'angry': 0.564, 'happy': 0.347, 'excited': 0.612, 'sad': 0.702, 'neutral': 0.421, 'frustrated': 0.568}
[epoch 025] loss=0.7650 val_weighted_f1=0.5568 val_macro_f1=0.5414 time=4.5s per_class_f1={'angry': 0.563, 'happy': 0.354, 'excited': 0.621, 'sad': 0.714, 'neutral': 0.424, 'frustrated': 0.573}
[epoch 026] loss=0.7577 val_weighted_f1=0.5527 val_macro_f1=0.5358 time=4.6s per_class_f1={'angry': 0.562, 'happy': 0.342, 'excited': 0.607, 'sad': 0.71, 'neutral': 0.422, 'frustrated': 0.571}
