[2026-07-03 10:42:52,908][__main__][INFO] - run_name=speaker_only_seed2024
[2026-07-03 10:42:52,908][__main__][INFO] - experiment.relational=False experiment.shift=False experiment.temporal=False experiment.lora=False
[epoch 000] loss=0.7269 val_weighted_f1=0.2518 val_macro_f1=0.0850 time=12.3s per_class_f1={'neutral': 0.595, 'joy': 0.0, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.0, 'fear': 0.0, 'disgust': 0.0}
[epoch 001] loss=0.6995 val_weighted_f1=0.2911 val_macro_f1=0.1203 time=11.8s per_class_f1={'neutral': 0.61, 'joy': 0.112, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.12, 'fear': 0.0, 'disgust': 0.0}
[epoch 002] loss=0.6780 val_weighted_f1=0.3579 val_macro_f1=0.1801 time=11.7s per_class_f1={'neutral': 0.644, 'joy': 0.123, 'sadness': 0.0, 'anger': 0.12, 'surprise': 0.373, 'fear': 0.0, 'disgust': 0.0}
[epoch 003] loss=0.6522 val_weighted_f1=0.4218 val_macro_f1=0.2359 time=11.8s per_class_f1={'neutral': 0.672, 'joy': 0.342, 'sadness': 0.0, 'anger': 0.249, 'surprise': 0.388, 'fear': 0.0, 'disgust': 0.0}
[epoch 004] loss=0.6316 val_weighted_f1=0.4279 val_macro_f1=0.2422 time=11.7s per_class_f1={'neutral': 0.672, 'joy': 0.334, 'sadness': 0.0, 'anger': 0.299, 'surprise': 0.39, 'fear': 0.0, 'disgust': 0.0}
[epoch 005] loss=0.6177 val_weighted_f1=0.4195 val_macro_f1=0.2457 time=11.7s per_class_f1={'neutral': 0.637, 'joy': 0.306, 'sadness': 0.034, 'anger': 0.377, 'surprise': 0.367, 'fear': 0.0, 'disgust': 0.0}
[epoch 006] loss=0.6034 val_weighted_f1=0.4487 val_macro_f1=0.2615 time=11.7s per_class_f1={'neutral': 0.681, 'joy': 0.308, 'sadness': 0.0, 'anger': 0.415, 'surprise': 0.425, 'fear': 0.0, 'disgust': 0.0}
[epoch 007] loss=0.5892 val_weighted_f1=0.4416 val_macro_f1=0.2548 time=11.7s per_class_f1={'neutral': 0.68, 'joy': 0.268, 'sadness': 0.0, 'anger': 0.387, 'surprise': 0.449, 'fear': 0.0, 'disgust': 0.0}
[epoch 008] loss=0.5848 val_weighted_f1=0.4605 val_macro_f1=0.2775 time=11.8s per_class_f1={'neutral': 0.684, 'joy': 0.325, 'sadness': 0.118, 'anger': 0.405, 'surprise': 0.41, 'fear': 0.0, 'disgust': 0.0}
[epoch 009] loss=0.5783 val_weighted_f1=0.4694 val_macro_f1=0.2875 time=11.6s per_class_f1={'neutral': 0.68, 'joy': 0.387, 'sadness': 0.126, 'anger': 0.388, 'surprise': 0.432, 'fear': 0.0, 'disgust': 0.0}
[epoch 010] loss=0.5671 val_weighted_f1=0.4503 val_macro_f1=0.2706 time=11.7s per_class_f1={'neutral': 0.68, 'joy': 0.359, 'sadness': 0.061, 'anger': 0.31, 'surprise': 0.435, 'fear': 0.049, 'disgust': 0.0}
[epoch 011] loss=0.5608 val_weighted_f1=0.4731 val_macro_f1=0.2969 time=11.7s per_class_f1={'neutral': 0.672, 'joy': 0.398, 'sadness': 0.076, 'anger': 0.407, 'surprise': 0.479, 'fear': 0.048, 'disgust': 0.0}
[epoch 012] loss=0.5521 val_weighted_f1=0.4957 val_macro_f1=0.3202 time=11.8s per_class_f1={'neutral': 0.694, 'joy': 0.407, 'sadness': 0.262, 'anger': 0.397, 'surprise': 0.439, 'fear': 0.043, 'disgust': 0.0}
