[2026-07-03 10:29:27,268][__main__][INFO] - run_name=speaker_only_seed42_tau050
[2026-07-03 10:29:27,268][__main__][INFO] - experiment.relational=False experiment.shift=False experiment.temporal=False experiment.lora=False
[epoch 000] loss=0.7265 val_weighted_f1=0.2539 val_macro_f1=0.0868 time=10.7s per_class_f1={'neutral': 0.596, 'joy': 0.012, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.0, 'fear': 0.0, 'disgust': 0.0}
[epoch 001] loss=0.6986 val_weighted_f1=0.2910 val_macro_f1=0.1217 time=10.0s per_class_f1={'neutral': 0.61, 'joy': 0.012, 'sadness': 0.0, 'anger': 0.0, 'surprise': 0.23, 'fear': 0.0, 'disgust': 0.0}
[epoch 002] loss=0.6728 val_weighted_f1=0.3566 val_macro_f1=0.1800 time=10.4s per_class_f1={'neutral': 0.638, 'joy': 0.174, 'sadness': 0.0, 'anger': 0.111, 'surprise': 0.337, 'fear': 0.0, 'disgust': 0.0}
[epoch 003] loss=0.6553 val_weighted_f1=0.4065 val_macro_f1=0.2228 time=10.4s per_class_f1={'neutral': 0.663, 'joy': 0.324, 'sadness': 0.0, 'anger': 0.226, 'surprise': 0.347, 'fear': 0.0, 'disgust': 0.0}
[epoch 004] loss=0.6295 val_weighted_f1=0.4310 val_macro_f1=0.2450 time=10.5s per_class_f1={'neutral': 0.673, 'joy': 0.366, 'sadness': 0.0, 'anger': 0.306, 'surprise': 0.371, 'fear': 0.0, 'disgust': 0.0}
[epoch 005] loss=0.6147 val_weighted_f1=0.4357 val_macro_f1=0.2488 time=10.5s per_class_f1={'neutral': 0.678, 'joy': 0.316, 'sadness': 0.0, 'anger': 0.328, 'surprise': 0.42, 'fear': 0.0, 'disgust': 0.0}
[epoch 006] loss=0.6009 val_weighted_f1=0.4487 val_macro_f1=0.2579 time=10.3s per_class_f1={'neutral': 0.691, 'joy': 0.375, 'sadness': 0.0, 'anger': 0.348, 'surprise': 0.391, 'fear': 0.0, 'disgust': 0.0}
[epoch 007] loss=0.5907 val_weighted_f1=0.4484 val_macro_f1=0.2588 time=9.9s per_class_f1={'neutral': 0.693, 'joy': 0.387, 'sadness': 0.049, 'anger': 0.248, 'surprise': 0.435, 'fear': 0.0, 'disgust': 0.0}
[epoch 008] loss=0.5786 val_weighted_f1=0.4693 val_macro_f1=0.2889 time=10.2s per_class_f1={'neutral': 0.674, 'joy': 0.356, 'sadness': 0.113, 'anger': 0.429, 'surprise': 0.451, 'fear': 0.0, 'disgust': 0.0}
[epoch 009] loss=0.5724 val_weighted_f1=0.4676 val_macro_f1=0.2800 time=10.3s per_class_f1={'neutral': 0.688, 'joy': 0.376, 'sadness': 0.035, 'anger': 0.41, 'surprise': 0.451, 'fear': 0.0, 'disgust': 0.0}
[epoch 010] loss=0.5605 val_weighted_f1=0.4602 val_macro_f1=0.2709 time=10.3s per_class_f1={'neutral': 0.694, 'joy': 0.375, 'sadness': 0.049, 'anger': 0.366, 'surprise': 0.412, 'fear': 0.0, 'disgust': 0.0}
[epoch 011] loss=0.5554 val_weighted_f1=0.4845 val_macro_f1=0.3134 time=10.4s per_class_f1={'neutral': 0.685, 'joy': 0.377, 'sadness': 0.3, 'anger': 0.4, 'surprise': 0.384, 'fear': 0.048, 'disgust': 0.0}
[epoch 012] loss=0.5477 val_weighted_f1=0.4756 val_macro_f1=0.2984 time=10.3s per_class_f1={'neutral': 0.696, 'joy': 0.405, 'sadness': 0.237, 'anger': 0.269, 'surprise': 0.435, 'fear': 0.048, 'disgust': 0.0}
[epoch 013] loss=0.5439 val_weighted_f1=0.4769 val_macro_f1=0.2953 time=10.3s per_class_f1={'neutral': 0.699, 'joy': 0.391, 'sadness': 0.142, 'anger': 0.405, 'surprise': 0.383, 'fear': 0.048, 'disgust': 0.0}
[epoch 014] loss=0.5353 val_weighted_f1=0.5002 val_macro_f1=0.3240 time=10.3s per_class_f1={'neutral': 0.694, 'joy': 0.389, 'sadness': 0.221, 'anger': 0.407, 'surprise': 0.512, 'fear': 0.045, 'disgust': 0.0}
[epoch 015] loss=0.5322 val_weighted_f1=0.5022 val_macro_f1=0.3294 time=10.5s per_class_f1={'neutral': 0.693, 'joy': 0.387, 'sadness': 0.305, 'anger': 0.394, 'surprise': 0.482, 'fear': 0.044, 'disgust': 0.0}
[epoch 016] loss=0.5262 val_weighted_f1=0.4976 val_macro_f1=0.3424 time=10.6s per_class_f1={'neutral': 0.67, 'joy': 0.404, 'sadness': 0.301, 'anger': 0.384, 'surprise': 0.496, 'fear': 0.085, 'disgust': 0.057}
[epoch 017] loss=0.5197 val_weighted_f1=0.4995 val_macro_f1=0.3377 time=10.5s per_class_f1={'neutral': 0.697, 'joy': 0.404, 'sadness': 0.294, 'anger': 0.353, 'surprise': 0.449, 'fear': 0.167, 'disgust': 0.0}
[epoch 018] loss=0.5143 val_weighted_f1=0.5084 val_macro_f1=0.3510 time=10.4s per_class_f1={'neutral': 0.691, 'joy': 0.422, 'sadness': 0.32, 'anger': 0.344, 'surprise': 0.502, 'fear': 0.179, 'disgust': 0.0}
[epoch 019] loss=0.5152 val_weighted_f1=0.5032 val_macro_f1=0.3394 time=10.3s per_class_f1={'neutral': 0.694, 'joy': 0.37, 'sadness': 0.211, 'anger': 0.433, 'surprise': 0.504, 'fear': 0.164, 'disgust': 0.0}
