[run] base_fusion_R_k0_seed42 k=0 flags={'relational': False, 'shift': False, 'temporal': False, 'residual': True} text_cache_subdir=text_ctx_k0
[epoch 000] loss=0.8983 val_weighted_f1=0.5822 val_macro_f1=0.4169 time=8.4s per_class_f1={'neutral': 0.767, 'joy': 0.559, 'sadness': 0.326, 'anger': 0.367, 'surprise': 0.629, 'fear': 0.083, 'disgust': 0.188}
[epoch 001] loss=0.8965 val_weighted_f1=0.5834 val_macro_f1=0.4193 time=8.1s per_class_f1={'neutral': 0.767, 'joy': 0.555, 'sadness': 0.343, 'anger': 0.367, 'surprise': 0.631, 'fear': 0.085, 'disgust': 0.188}
[epoch 002] loss=0.8951 val_weighted_f1=0.5854 val_macro_f1=0.4207 time=8.0s per_class_f1={'neutral': 0.769, 'joy': 0.561, 'sadness': 0.343, 'anger': 0.368, 'surprise': 0.631, 'fear': 0.085, 'disgust': 0.188}
[epoch 003] loss=0.8959 val_weighted_f1=0.5819 val_macro_f1=0.4172 time=8.1s per_class_f1={'neutral': 0.766, 'joy': 0.554, 'sadness': 0.335, 'anger': 0.367, 'surprise': 0.629, 'fear': 0.082, 'disgust': 0.188}
[epoch 004] loss=0.8919 val_weighted_f1=0.5796 val_macro_f1=0.4135 time=8.0s per_class_f1={'neutral': 0.767, 'joy': 0.552, 'sadness': 0.329, 'anger': 0.363, 'surprise': 0.619, 'fear': 0.082, 'disgust': 0.182}
[epoch 005] loss=0.8889 val_weighted_f1=0.5790 val_macro_f1=0.4127 time=8.2s per_class_f1={'neutral': 0.768, 'joy': 0.55, 'sadness': 0.321, 'anger': 0.363, 'surprise': 0.622, 'fear': 0.083, 'disgust': 0.182}
[epoch 006] loss=0.8817 val_weighted_f1=0.5865 val_macro_f1=0.4310 time=8.1s per_class_f1={'neutral': 0.771, 'joy': 0.561, 'sadness': 0.327, 'anger': 0.374, 'surprise': 0.622, 'fear': 0.12, 'disgust': 0.242}
[epoch 007] loss=0.8774 val_weighted_f1=0.5789 val_macro_f1=0.4212 time=8.1s per_class_f1={'neutral': 0.768, 'joy': 0.548, 'sadness': 0.299, 'anger': 0.359, 'surprise': 0.625, 'fear': 0.12, 'disgust': 0.229}
[epoch 008] loss=0.8692 val_weighted_f1=0.5815 val_macro_f1=0.4250 time=8.1s per_class_f1={'neutral': 0.768, 'joy': 0.56, 'sadness': 0.287, 'anger': 0.377, 'surprise': 0.62, 'fear': 0.12, 'disgust': 0.242}
[epoch 009] loss=0.8678 val_weighted_f1=0.5792 val_macro_f1=0.4231 time=8.1s per_class_f1={'neutral': 0.767, 'joy': 0.549, 'sadness': 0.3, 'anger': 0.364, 'surprise': 0.624, 'fear': 0.122, 'disgust': 0.235}
[epoch 010] loss=0.8619 val_weighted_f1=0.5874 val_macro_f1=0.4321 time=8.2s per_class_f1={'neutral': 0.771, 'joy': 0.555, 'sadness': 0.329, 'anger': 0.388, 'surprise': 0.619, 'fear': 0.12, 'disgust': 0.242}
